景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
海阳县儒学宫,牌坊街/潮州古城/广济桥,距市中心2.9km,"[23.674251, 116.654487]",17,4.2,2.7,https://dimg04.c-ctrip.com/images/100f1900000163cuv6C1B.jpg,FALSE,0,0,,['历史建筑'],
天后宫,牌坊街/潮州古城/广济桥,距市中心3.1km,"[23.669598, 116.658612]",2,5,2.7,https://dimg04.c-ctrip.com/images/100s190000016a7od69E6.jpg,FALSE,0,0,,['历史建筑'],
石壁山风景区,饶平,距市中心40.1km,"[23.693213, 117.020551]",19,4.4,2.7,https://dimg04.c-ctrip.com/images/0103p120008s7dnkhA7C1.jpg,FALSE,0,0,,"['历史建筑', '登高爬山']",
潮州凤翔峡龙腾谷漂流,,距市中心20.7km,"[23.82874, 116.719474]",2,4,2.7,https://dimg04.c-ctrip.com/images/1lo6d12000ebx4qeaB651.jpg,FALSE,0,0,,"['登高爬山','自然山水']",
潮州人民广场,人民广场,距市中心318m,"[23.660878, 116.630905]",73,4.5,2.6,https://dimg04.c-ctrip.com/images/100a1f000001grk6zC514.jpg,TRUE,0,0,,['地标观景'],
东沙湾浴场,饶平,距市中心40.6km,"[23.54668, 117.006373]",0,0,2.6,https://dimg04.c-ctrip.com/images/0102h120009oik47fEAD6.png,FALSE,0,0,,['海滨沙滩'],
乃兴石湖休闲避暑山庄,,距市中心28.1km,"[23.905578, 116.703488]",1,1,2.6,https://dimg04.c-ctrip.com/images/01A6a1200094e70qzE32D.jpg,FALSE,0,0,,['度假村'],
沙溪镇,东山湖/龙湖古寨,距市中心14.4km,"[23.537993, 116.593148]",0,0,2.6,https://dimg04.c-ctrip.com/images/01040120009zper5991CA.jpg,TRUE,0,0,,['地标观景'],
吉象主题乐园,,距市中心4.4km,"[23.656803, 116.671932]",0,0,2.6,https://dimg04.c-ctrip.com/images/0104312000c78cce15021.jpg,FALSE,20,0,,"['特色展馆', '场馆展馆']",
潮州美术馆,人民广场,距市中心1.3km,"[23.670903, 116.620197]",0,0,2.6,https://dimg04.c-ctrip.com/images/0106p120009zdql60390B.jpg,TRUE,0,0,,"['特色展馆', '场馆展馆']",
潮州市饶宗颐学术馆,牌坊街/潮州古城/广济桥,距市中心3.0km,"[23.66847, 116.658298]",18,4.7,2.6,https://dimg04.c-ctrip.com/images/100o0z000000nceedF4CD.jpg,FALSE,0,0,,['历史建筑'],
红山森林公园,,距市中心9.0km,"[23.679883, 116.715526]",6,1.8,2.6,https://dimg04.c-ctrip.com/images/0103412000a5vy51i6C2A.jpg,FALSE,0,0,,['自然山水'],
中国瓷都陈列馆,潮州站/潮州粤运中心客运站,距市中心1.7km,"[23.654415, 116.61483]",7,4.6,2.5,https://dimg04.c-ctrip.com/images/100v0z000000nvuf83AD1.jpg,FALSE,0,0,,['场馆展馆'],
蓝月湾水上乐园,饶平,距市中心39.6km,"[23.666268, 117.017695]",4,3.8,2.5,https://dimg04.c-ctrip.com/images/0104h12000as07s2kF9F1.jpg,FALSE,35,0,,['水乐园'],
潮州动物园,西湖公园,距市中心2.7km,"[23.679119, 116.649289]",5,3.6,2.5,https://dimg04.c-ctrip.com/images/100d1f000001gorn101FA.jpg,FALSE,0,0,,"['动物园','遛娃宝藏地']",
华夏历史博物馆,,距市中心9.3km,"[23.582429, 116.602416]",12,4,2.5,https://dimg04.c-ctrip.com/images/0103y120009zho37mC186.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
潮州嵌瓷博物馆,东山湖/龙湖古寨,距市中心13.3km,"[23.54443, 116.609279]",0,0,2.5,https://dimg04.c-ctrip.com/images/01024120009zin3c16C9D.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
